MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"Africa,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",349.0136,380.4225,377.0206,386.2014,400.7075,359.7774,382.7501,406.821,445.1893,474.9367,480.0345,476.0049,501.8093,504.48"
"America,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",273.472,277.124,258.6885,249.5951,256.4391,278.084,284.0371,273.6978,275.6562,274.5312,293.5454,298.1713,324.0243,366.757"
"America,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",180.2483,181.9547,212.0248,197.728,200.1728,232.3368,223.3911,206.2289,216.1103,230.8366,222.9366,228.9494,262.1503,253.8854"
"America,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1122.367,1240.885,1330.036,1228.612,1348.488,1465.928,1570.17,1604.025,1631.983,1724.308,1724.713,1772.675,1835.159,1886.777"
"America,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1576.087,1699.964,1800.749,1675.935,1805.099,1976.349,2077.599,2083.952,2123.75,2229.676,2241.195,2299.796,2421.334,2507.42"
"America,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",572.7104000000001,589.5149,555.5062,509.5348,532.7848,484.1263,476.375,425.674,378.4609,355.1007,349.1717,313.5592,303.2712,282.2135"
"America,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",219.1719,220.095,208.7477,205.5499,211.8098,187.7534,195.6651,191.6679,202.4679,202.7807,223.0354,215.7799,240.0003,226.8032"
"America,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",756.4402,729.0381,703.0691000000001,540.4278000000001,597.6215999999999,694.4146,752.7166,828.0225,826.9766,850.8782,833.3728,897.1437,970.754,947.131"
"America,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1548.323,1538.648,1467.323,1255.513,1342.216,1366.294,1424.757,1445.364,1407.905,1408.76,1405.58,1426.483,1514.025,1456.148"
"  Northern America,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",22.155,24.85059,24.10564,23.87981,25.4863,24.25508,30.72732,33.72732,43.05523,51.05523,61.05523,72.97732000000001,123.4073,162.5573"
