MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"Developing economies,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1527.49,1554.167,1517.58,1453.091,1508.674,1500.921,1524.629,1478.223,1437.744,1466.707,1504.415,1515.035,1471.084,1423.331"
"Developing economies,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",537.1831,530.8425,515.2057,502.9093,503.3234,534.6149,554.7283,587.9995,621.3482,667.6798,742.8113,746.2696,774.6461000000001,760.3379"
"Developing economies,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2767.164,2934.895,3048.718,2844.649,3041.587,3251.806,3451.784,3647.375,3821.854,3829.89,3863.021,4047.211,4197.631,4241.173"
"Developing economies,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",4831.837,5019.904000000001,5081.504,4800.65,5053.585,5287.341,5531.142,5713.598,5880.946,5964.277,6110.247,6308.515,6443.361,6424.842"
"Developing economies,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",658.2569,742.9095,685.3927,745.7679000000001,777.439,807.201,833.5715,873.9295,885.4926,915.3761,997.8991,1054.046,1116.623,1118.899"
"Developing economies,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",354.2953,374.1024,405.1489,388.2645,421.0798,453.6532,495.3755,523.442,564.5199,640.1996,734.2092,788.5284,838.9543,851.3384"
"Developing economies,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2654.851,2879.56,3108.06,3240.483,3468.366,3691.404,3987.483,4292.203,4479.524,4576.637,4672.47,4951.057,5117.319,5230.493"
"Developing economies,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",3667.403,3996.572,4198.602,4374.516,4666.885,4952.258,5316.43,5689.574,5929.537,6132.213,6404.578,6793.632,7072.896,7200.731"
"  Developing economies: Africa,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",353.756,362.5101,379.1608,354.0006,343.5956,338.0051,364.2283,327.5335,304.329,293.676,271.3195,291.3245,297.437,293.4731"
"  Developing economies: Africa,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",86.03178,81.84388,83.30696,82.95889,81.52263000000001,68.51640999999999,70.1501,82.38955,74.34614999999999,58.57615,58.78183,70.43311,70.43386,69.88446999999999"
"  Developing economies: Africa,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",282.1156,287.737,300.8866,273.0951,301.2763,321.8696,325.8389,365.4304,359.4362,362.7567,363.5616,376.5192,395.1786,398.723"
"  Developing economies: Africa,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",721.9034,732.091,763.3543,710.0545,726.3945,728.3911000000001,760.2174,775.3534,738.1114,715.0089,693.663,738.2768,763.0494,762.0806"
"  Developing economies: Africa,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",41.26875,45.70228,45.0193,44.60019,42.02015,37.7858,32.7685,36.611,37.19,39.35,38.698,40.511,39.042,39.247"
"  Developing economies: Africa,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",39.00174,44.54132,43.52458,39.76322,39.33715,46.31179,51.0532,59.49926,70.99909,72.08121,81.18916,93.52888,99.93886000000001,99.33756"
"  Developing economies: Africa,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",268.7431,290.1789,288.4767,301.838,319.3502,275.6798,298.9284,310.7108,337.0002,363.5054,360.1473,341.965,362.8284,365.8954"
"  Developing economies: Africa,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",349.0136,380.4225,377.0206,386.2014,400.7075,359.7774,382.7501,406.821,445.1893,474.9367,480.0345,476.0049,501.8093,504.48"
"  Developing economies: America,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",251.317,252.2734,234.5828,225.7153,230.9528,253.8289,253.3098,239.9705,232.601,223.476,232.4901,225.194,200.617,204.1997"
"  Developing economies: America,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",93.87948,90.65286,93.01852,73.97295,73.22512,77.98325,85.94605,69.81025,76.428,83.818,80.91800000000001,71.93080000000001,88.6503,82.2854"
"  Developing economies: America,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",685.5212,724.1795,780.6256,730.1141,825.3920000000001,901.9305000000001,943.3625,953.877,991.9362,1044.261,1041.266,1066.675,1096.119,1099.824"
"  Developing economies: America,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1030.718,1067.106,1108.227,1029.802,1129.57,1233.743,1282.618,1263.658,1300.965,1351.555,1354.674,1363.8,1385.387,1386.309"
"  Developing economies: America,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",71.74847,76.00371,74.2176,64.35082,69.30037,71.08689,74.60005,69.374,65.122,65.76185,51.92085,47.5092,47.0712,47.81846"
"  Developing economies: America,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",63.50169,64.03505,69.87758,73.55289999999999,76.60199,73.86957,83.57314,89.36788,99.80683999999999,102.1196,128.2344,141.4238,149.2503,138.8032"
"  Developing economies: America,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",264.3243,275.9044,288.7418,234.0023,262.6342,325.86,374.2206,396.6805,406.7765,421.6782,385.8183,419.2397,441.754,435.127"
"  Developing economies: America,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",399.5744,415.9432,432.837,371.906,408.5366,470.8164,532.3938000000001,555.4224,571.7054000000001,589.5596000000001,565.9734999999999,608.1727,638.0755,621.7487"
"  Developing economies: Asia,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",921.2123,938.1784,902.7282,872.2754,932.9406,907.7858,905.7702000000001,909.3871,899.362,948.011,999.061,996.9165,971.3204,923.858"
"  Developing economies: Asia,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",357.0367,358.1107,338.6498,345.7586,348.1803,387.6193,398.0899,435.1548,466.4906,517.5096,594.9462,595.6466,607.7999,600.46"
"  Developing economies: Asia,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1795.089,1918.54,1962.45,1836.562,1909.79,2022.781,2177.25,2322.631,2465.513,2417.915,2453.444,2599.46,2701.279,2737.519"
"  Developing economies: Asia,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",3073.338,3214.829,3203.828,3054.596,3190.911,3318.186,3481.11,3667.173,3831.366,3883.436,4047.451,4192.023,4280.4,4261.837"
"  Developing economies: Asia,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",552.7192,620.683,565.6386,636.3119,665.5999000000001,697.8166,725.7202,767.3548,782.5264,809.5864,906.5924,965.4354,1029.665,1031.1"
"  Developing economies: Asia,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",248.8108,260.7579,286.8005,269.9242,300.0114,328.3257,355.483,369.2316,389.4026,461.6245,520.3875000000001,549.4185,584.7272,607.6915"
"  Developing economies: Asia,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2114.555,2305.6,2522.743,2696.485,2878.157,3081.5,3305.942,3576.367,3727.691,3783.377,3918.023,4182.096,4304.531,4420.325"
"  Developing economies: Asia,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2916.085,3187.041,3375.182,3602.722,3843.769,4107.642,4387.145,4712.954,4899.62,5054.588,5345.002,5696.95,5918.923,6059.117"
"  Developing economies: Oceania,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1.20516,1.20516,1.108516,1.100231,1.185116,1.301116,1.321116,1.332058,1.452058,1.544058,1.544058,1.6,1.71,1.8"
"  Developing economies: Oceania,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",0.23507,0.23507,0.23047,0.21887,0.39532,0.49587,0.54225,0.644837,4.083457,7.776015,8.1653,8.25907,7.762,7.708"
"  Developing economies: Oceania,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",4.43807,4.43807,4.75667,4.87727,5.128407,5.224407,5.333007,5.437207,4.968038,4.956707,4.750386,4.556934,5.053748,5.106748"
"  Developing economies: Oceania,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",5.8783,5.8783,6.095656,6.196371,6.708843,7.021393,7.196373,7.414102,10.50355,14.27678,14.45974,14.416,14.52575,14.61475"
"  Developing economies: Oceania,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",0.5205,0.5205,0.5172,0.505,0.5185,0.5117,0.4827,0.5897,0.654205,0.677885,0.687885,0.5905,0.845,0.734"
"  Developing economies: Oceania,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",4.768105,4.768105,4.946205,5.024205,5.129205,5.146205,5.266205,5.343205,4.311305,4.37433,4.398205,4.157205,5.03793,5.506205"
"  Developing economies: Oceania,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",7.876596,7.876596,8.098596000000001,8.157596,8.224796,8.364796,8.391795999999999,8.444395999999999,8.056523,8.075896,8.481896000000001,7.756396,8.20562,9.144734"
"  Developing economies: Oceania,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",13.1652,13.1652,13.562,13.6868,13.8725,14.0227,14.1407,14.3773,13.02203,13.12811,13.56799,12.5041,14.08855,15.38494"
"Transition economies,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",123.0648,124.3828,138.2345,142.0854,150.1693,132.572,135.6179,145.064,152.13,164.395,176.344,206.838,203.8118,193.9118"
"Transition economies,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",41.34393,39.85356,36.66815,44.39449,45.86103,41.96769,40.27397,32.05424,36.75424,43.13691,40.23391,41.577,37.6,41.11"
"Transition economies,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",245.331,243.1452,255.7325,276.684,318.8281,329.6507,367.4134,373.9241,402.9212,423.8675,419.8215,445.9437,471.5985,480.8124"
"Transition economies,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",409.7397,407.3816,430.6352,463.1639,514.8585000000001,504.1904,543.3053,551.0424,591.8054,631.3994,636.3994,694.3587,713.0103,715.8342"
"Transition economies,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",5.606,7.278256,6.269663,3.482663,3.482663,4.211663,3.825663,1.129663,0.2296633,0.2816633,0.3096633,0.333,0.33,0.83"
"Transition economies,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",3.097761,3.480561,3.785903,4.577758,4.577758,4.361758,3.977458,10.58346,4.171758,4.339758,3.962758,4.610855,4.796,5.409855"
"Transition economies,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",61.38174,65.46444,78.36944,84.40846000000001,97.13392,109.2595,123.8718,102.6048,95.93376000000001,94.15276,95.45175999999999,93.43876,94.27229,95.79876"
"Transition economies,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",70.08551,76.22324999999999,88.425,92.46888,105.1943,117.8329,131.6749,114.3179,100.3352,98.77418,99.72418,98.38261,99.39829,102.0386"
"Developed economies,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",132.8598,135.1356,129.0341,114.962,125.7486,117.4878,125.1779,114.3869,121.8272,129.6484,151.5005,152.6988,206.1538,242.9158"
"Developed economies,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",336.3829,362.9637,405.2836,383.8374,418.532,451.8919,459.7062,470.5287,463.3972,467.2335,455.0615,491.1685,507.5039,506.9139"
"Developed economies,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1991.288,2110.846,2181.072,2055.497,2288.2,2377.642,2538.05,2603.37,2758.468,2820.568,2893.405,3067.149,3149.135,3185.411"
"Developed economies,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2460.53,2608.945,2715.39,2554.296,2832.481,2947.022,3122.934,3188.286,3343.692,3417.45,3499.967,3711.016,3862.792,3935.241"
"Developed economies,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1276.027,1246.005,1251.127,1125.346,1158.464,1085.603,1092.61,1006.706,964.434,994.3,987.2632,979.0753,931.85,913.6413"
"Developed economies,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",539.7818,524.0366,523.8402,529.8563,545.0677,581.2921,556.4902,556.6389,518.8673,530.9292,496.594,494.746,494.8001,472.5741"
"Developed economies,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2349.387,2220.466,2232.951,1719.224,1888.546,1965.371,2018.096,2116.014,2206.78,2208.51,2314.995,2321.164,2417.802,2394.007"
"Developed economies,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",4165.196,3990.507,4007.919,3374.427,3592.077,3632.266,3667.196,3679.359,3690.082,3733.74,3798.852,3794.985,3844.452,3780.223"
"  Developed economies: America,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",22.155,24.85059,24.10564,23.87981,25.4863,24.25508,30.72732,33.72732,43.05523,51.05523,61.05523,72.97732000000001,123.4073,162.5573"
"  Developed economies: America,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",86.36883,91.3018,119.0063,123.7551,126.9477,154.3536,137.445,136.4186,139.6823,147.0186,142.0186,157.0186,173.5,171.6"
"  Developed economies: America,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",436.8455,516.7054000000001,549.4106,498.4981,523.0956,563.9976,626.8079,650.148,640.0473,680.0473,683.4475,706,739.04,786.953"
"  Developed economies: America,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",545.3693,632.8578,692.5225,646.133,675.5296,742.6063,794.9802,820.294,822.7848,878.1211,886.5214,935.996,1035.947,1121.11"
"  Developed economies: America,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",500.962,513.5112,481.2886,445.184,463.4844,413.0394,401.775,356.3,313.3389,289.3389,297.2509,266.05,256.2,234.395"
"  Developed economies: America,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",155.6702,156.0599,138.8701,131.997,135.2078,113.8838,112.092,102.3,102.6611,100.6611,94.80108,74.35611,90.75,88"
"  Developed economies: America,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",492.116,453.1337,414.3273,306.4256,334.9873,368.5546,378.496,431.342,420.2001,429.2001,447.5545,477.904,529,512.004"
"  Developed economies: America,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1148.748,1122.705,1034.486,883.6066,933.6795,895.4779,892.3630000000001,889.942,836.2000000000001,819.2000000000001,839.6064,818.3101,875.9500000000001,834.399"
"  Developed economies: Asia,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"  Developed economies: Asia,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",10.01679,14.4109,20.95079,19.274,24.472,17.419,14.51,13.851,14.601,13.401,11.751,12.636,15.235,15.435"
"  Developed economies: Asia,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",153.1287,161.2476,162.049,139.77,151.206,146.783,165.965,174.964,170.414,177.014,176.648,186.533,193.233,190.433"
"  Developed economies: Asia,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",163.1455,175.6585,182.9998,159.044,175.678,164.202,180.475,188.815,185.015,190.415,188.399,199.169,208.468,205.868"
