Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days) ,Median time in port (days)  Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
"2018A00,""2018"",2018,A,""Annual"",348,""Hungary"",00,""All ships"",,,19,,2614,,3542,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",348,""Hungary"",01,""Passenger ships"",,,19,,2614,,3542,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",00,""All ships"",0.71,,24,,7573,,171598,,7201,,73311,,1001,,1457,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",01,""Passenger ships"",,,30,,8079,,171598,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",02,""Liquid bulk carriers"",0.48,,14,,8896,,30641,,12669,,52648,,,,,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",03,""Container ships"",0.65,,13,,10686,,17368,,,,,,1001,,1457,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",04,""Dry breakbulk carriers"",0.78,,20,,3859,,23224,,5002,,37735,,,,,"
"2018A00,""2018"",2018,A,""Annual"",352,""Iceland"",05,""Dry bulk carriers"",2.05,,12,,14762,,38367,,23899,,73311,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",00,""All ships"",1.32,,13,,29185,,170004,,41067,,323183,,4362,,13154,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",01,""Passenger ships"",,,17,,12799,,138279,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",02,""Liquid bulk carriers"",1.42,,13,,33384,,170004,,59253,,323183,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",03,""Container ships"",0.93,,13,,47363,,141868,,,,,,4362,,13154,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",04,""Dry breakbulk carriers"",0.82,,14,,4330,,48799,,6101,,64793,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",05,""Dry bulk carriers"",2.49,,10,,31756,,109716,,56929,,211182,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",06,""Roll-on/ roll-off ships"",,,11,,53868,,77000,,18421,,28360,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",07,""Liquefied petroleum gas carriers"",1.27,,15,,23131,,57509,,26470,,64220,,,,,"
"2018A00,""2018"",2018,A,""Annual"",356,""India"",08,""Liquefied natural gas carriers"",1.15,,10,,105494,,168189,,87201,,154940,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",00,""All ships"",1.34,,20,,8135,,150695,,17303,,209956,,1440,,13100,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",01,""Passenger ships"",,,22,,5096,,150695,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",02,""Liquid bulk carriers"",1.28,,15,,8199,,76216,,12733,,126646,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",03,""Container ships"",1.09,,14,,15430,,141635,,,,,,1440,,13100,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",04,""Dry breakbulk carriers"",1.26,,19,,5030,,46515,,6460,,72562,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",05,""Dry bulk carriers"",3.55,,16,,26071,,107684,,46019,,209956,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",06,""Roll-on/ roll-off ships"",,,31,,8841,,69931,,3799,,21423,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",07,""Liquefied petroleum gas carriers"",1.13,,19,,9455,,49292,,10620,,58814,,,,,"
"2018A00,""2018"",2018,A,""Annual"",360,""Indonesia"",08,""Liquefied natural gas carriers"",1.38,,19,,91139,,133612,,69996,,96703,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",00,""All ships"",2.05,,19,,21874,,166093,,40496,,323183,,2909,,13154,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",01,""Passenger ships"",,,16,,2593,,20028,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",02,""Liquid bulk carriers"",1.66,,18,,40599,,166093,,74295,,323183,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",03,""Container ships"",1.18,,15,,31551,,141868,,,,,,2909,,13154,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",04,""Dry breakbulk carriers"",2.57,,25,,6029,,35240,,8107,,53035,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",05,""Dry bulk carriers"",5.91,,13,,30836,,51265,,54121,,93347,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",06,""Roll-on/ roll-off ships"",,,25,,18942,,72635,,11423,,46705,,,,,"
"2018A00,""2018"",2018,A,""Annual"",364,""Iran (Islamic Republic of)"",07,""Liquefied petroleum gas carriers"",1.75,,21,,24828,,48542,,29074,,58814,,,,,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",00,""All ships"",2.9,,15,,50539,,172146,,99084,,322861,,3205,,9400,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",02,""Liquid bulk carriers"",3.13,,13,,71414,,172146,,134536,,322861,,,,,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",03,""Container ships"",2.13,,16,,35476,,107849,,,,,,3205,,9400,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",04,""Dry breakbulk carriers"",1.76,,21,,7519,,34798,,9968,,55374,,,,,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",05,""Dry bulk carriers"",8.22,,9,,29970,,44625,,51956,,82574,,,,,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",06,""Roll-on/ roll-off ships"",,,25,,14123,,71177,,7031,,21000,,,,,"
"2018A00,""2018"",2018,A,""Annual"",368,""Iraq"",07,""Liquefied petroleum gas carriers"",2.85,,11,,6835,,8359,,7620,,9127,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",00,""All ships"",1.22,,16,,19917,,171598,,9646,,181056,,895,,3947,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",01,""Passenger ships"",,,20,,31429,,171598,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",02,""Liquid bulk carriers"",0.85,,14,,9815,,66563,,15556,,115909,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",03,""Container ships"",0.93,,13,,9019,,43628,,,,,,895,,3947,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",04,""Dry breakbulk carriers"",1.55,,15,,3464,,26770,,5103,,38330,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",05,""Dry bulk carriers"",2.99,,10,,26196,,94385,,45143,,181056,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",06,""Roll-on/ roll-off ships"",,,11,,20218,,74273,,7101,,28084,,,,,"
"2018A00,""2018"",2018,A,""Annual"",372,""Ireland"",07,""Liquefied petroleum gas carriers"",0.78,,9,,3205,,5036,,3452,,5073,,,,,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",00,""All ships"",1.34,,17,,23118,,187541,,19379,,185879,,3260,,19000,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",01,""Passenger ships"",,,29,,30190,,138279,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",02,""Liquid bulk carriers"",1.28,,11,,9260,,81360,,14965,,159313,,,,,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",03,""Container ships"",0.94,,14,,36538,,187541,,,,,,3260,,19000,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",04,""Dry breakbulk carriers"",2.24,,22,,4984,,45349,,7005,,52037,,,,,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",05,""Dry bulk carriers"",3.41,,14,,26283,,94528,,47257,,185879,,,,,"
"2018A00,""2018"",2018,A,""Annual"",376,""Israel"",06,""Roll-on/ roll-off ships"",,,24,,31655,,60212,,12753,,26097,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",00,""All ships"",1.25,,27,,10230,,228081,,18793,,319300,,3693,,18400,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",01,""Passenger ships"",,,30,,7416,,228081,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",02,""Liquid bulk carriers"",1.29,,16,,17196,,162543,,29280,,319300,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",03,""Container ships"",0.82,,14,,40870,,194849,,,,,,3693,,18400,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",04,""Dry breakbulk carriers"",1.93,,18,,6081,,46295,,8422,,81279,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",05,""Dry bulk carriers"",3.55,,13,,24040,,151915,,41564,,313049,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",06,""Roll-on/ roll-off ships"",,,13,,30019,,77000,,12387,,48988,,,,,"
"2018A00,""2018"",2018,A,""Annual"",380,""Italy"",07,""Liquefied petroleum gas carriers"",1.44,,13,,8630,,27546,,9913,,28500,,,,,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",00,""All ships"",1.91,,15,,25815,,72635,,24137,,105302,,3388,,5762,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",02,""Liquid bulk carriers"",2.08,,14,,10505,,43980,,16579,,75618,,,,,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",03,""Container ships"",1.15,,15,,35704,,66289,,,,,,3388,,5762,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",04,""Dry breakbulk carriers"",2.75,,20,,10725,,71543,,12416,,105302,,,,,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",05,""Dry bulk carriers"",5.38,,10,,26191,,36378,,44417,,63800,,,,,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",06,""Roll-on/ roll-off ships"",,,10,,56890,,72635,,23658,,44574,,,,,"
"2018A00,""2018"",2018,A,""Annual"",384,""Côte d'Ivoire"",07,""Liquefied petroleum gas carriers"",3.61,,5,,23106,,25337,,26506,,30309,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",00,""All ships"",1.01,,13,,28966,,227700,,16734,,98370,,2537,,11000,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",01,""Passenger ships"",,,12,,109073,,227700,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",02,""Liquid bulk carriers"",0.96,,14,,9444,,42514,,15202,,76002,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",03,""Container ships"",0.93,,11,,27823,,114044,,,,,,2537,,11000,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",04,""Dry breakbulk carriers"",1.01,,11,,9451,,84503,,12376,,98370,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",05,""Dry bulk carriers"",3.55,,12,,25210,,46068,,42907,,76561,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",06,""Roll-on/ roll-off ships"",,,21,,27682,,76420,,11977,,27564,,,,,"
"2018A00,""2018"",2018,A,""Annual"",388,""Jamaica"",07,""Liquefied petroleum gas carriers"",1.5,,18,,10042,,35012,,11693,,44822,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",00,""All ships"",0.41,,14,,11586,,217617,,15156,,402347,,1650,,20388,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",01,""Passenger ships"",,,15,,6414,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",02,""Liquid bulk carriers"",0.31,,12,,7913,,166093,,13474,,323182,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",03,""Container ships"",0.35,,12,,17334,,217617,,,,,,1650,,20388,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",04,""Dry breakbulk carriers"",1.12,,14,,6559,,49720,,8765,,138743,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",05,""Dry bulk carriers"",0.9,,14,,17830,,203403,,31350,,402347,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",06,""Roll-on/ roll-off ships"",,,12,,18953,,77000,,7860,,43878,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",07,""Liquefied petroleum gas carriers"",0.32,,16,,6011,,48963,,6575,,58899,,,,,"
"2018A00,""2018"",2018,A,""Annual"",392,""Japan"",08,""Liquefied natural gas carriers"",0.99,,13,,75696,,163922,,54400,,130171,,,,,"
"2018A00,""2018"",2018,A,""Annual"",398,""Kazakhstan"",00,""All ships"",1.71,,21,,4674,,11450,,6116,,13470,,,,,"
"2018A00,""2018"",2018,A,""Annual"",398,""Kazakhstan"",01,""Passenger ships"",,,33,,10948,,11450,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",398,""Kazakhstan"",02,""Liquid bulk carriers"",0.85,,13,,7072,,7848,,12003,,13470,,,,,"
"2018A00,""2018"",2018,A,""Annual"",398,""Kazakhstan"",04,""Dry breakbulk carriers"",2.11,,23,,3470,,6266,,4341,,7728,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",00,""All ships"",1.64,,16,,30667,,154300,,33780,,156634,,5903,,14568,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",01,""Passenger ships"",,,17,,11005,,149215,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",02,""Liquid bulk carriers"",1.97,,13,,38350,,81340,,68789,,156634,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",03,""Container ships"",0.8,,12,,64215,,154300,,,,,,5903,,14568,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",04,""Dry breakbulk carriers"",2.24,,19,,11027,,34859,,15120,,55444,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",05,""Dry bulk carriers"",3.24,,10,,30306,,47984,,53159,,87376,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",06,""Roll-on/ roll-off ships"",,,20,,32438,,77000,,13343,,46705,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",07,""Liquefied petroleum gas carriers"",3.5,,20,,14287,,27546,,16430,,28702,,,,,"
"2018A00,""2018"",2018,A,""Annual"",400,""Jordan"",08,""Liquefied natural gas carriers"",1.5,,6,,110673,,136168,,88732,,107160,,,,,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",00,""All ships"",2.93,,11,,29302,,94469,,33552,,115405,,2865,,9400,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",02,""Liquid bulk carriers"",4.03,,11,,36933,,64705,,63137,,115405,,,,,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",03,""Container ships"",2.51,,15,,31620,,94469,,,,,,2865,,9400,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",04,""Dry breakbulk carriers"",1.39,,8,,6934,,44471,,9667,,105302,,,,,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",05,""Dry bulk carriers"",5.46,,8,,25650,,38227,,44365,,66643,,,,,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",06,""Roll-on/ roll-off ships"",,,12,,51910,,77000,,22017,,46704,,,,,"
"2018A00,""2018"",2018,A,""Annual"",404,""Kenya"",07,""Liquefied petroleum gas carriers"",2.63,,6,,13123,,25098,,14654,,28543,,,,,"
"2018A00,""2018"",2018,A,""Annual"",408,""Korea, Dem. People's Rep. of"",00,""All ships"",5.44,,25,,3380,,6558,,5057,,9750,,,,,"
"2018A00,""2018"",2018,A,""Annual"",408,""Korea, Dem. People's Rep. of"",04,""Dry breakbulk carriers"",5.44,,25,,3380,,6558,,5057,,9750,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",00,""All ships"",0.79,,15,,20316,,217673,,21384,,327095,,2884,,20776,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",01,""Passenger ships"",,,20,,14763,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",02,""Liquid bulk carriers"",0.79,,13,,13319,,170004,,23141,,323183,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",03,""Container ships"",0.6,,13,,31178,,217673,,,,,,2884,,20776,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",04,""Dry breakbulk carriers"",1.29,,17,,5589,,58265,,8505,,138743,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",05,""Dry bulk carriers"",2.34,,13,,29254,,172146,,53064,,327095,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",06,""Roll-on/ roll-off ships"",,,18,,24487,,77000,,10391,,43878,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",07,""Liquefied petroleum gas carriers"",0.72,,15,,7354,,49288,,8112,,58585,,,,,"
"2018A00,""2018"",2018,A,""Annual"",410,""Korea, Republic of"",08,""Liquefied natural gas carriers"",1.03,,10,,112954,,168189,,89028,,155159,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",00,""All ships"",1.88,,13,,52181,,169955,,95784,,322861,,2122,,3802,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",02,""Liquid bulk carriers"",1.42,,10,,85100,,169955,,160534,,322861,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",03,""Container ships"",1.69,,13,,23915,,48154,,,,,,2122,,3802,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",04,""Dry breakbulk carriers"",2.26,,16,,12018,,44387,,16755,,80344,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",05,""Dry bulk carriers"",3.73,,16,,30625,,62271,,53270,,106432,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",06,""Roll-on/ roll-off ships"",,,10,,59138,,76500,,20236,,48988,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",07,""Liquefied petroleum gas carriers"",1.53,,11,,44514,,48772,,51557,,58814,,,,,"
"2018A00,""2018"",2018,A,""Annual"",414,""Kuwait"",08,""Liquefied natural gas carriers"",1.98,,7,,115202,,137535,,95818,,122052,,,,,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",00,""All ships"",0.83,,22,,23881,,176490,,13811,,81276,,4342,,15908,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",02,""Liquid bulk carriers"",0.89,,13,,19912,,43797,,31430,,76565,,,,,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",03,""Container ships"",0.62,,14,,48536,,176490,,,,,,4342,,15908,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",04,""Dry breakbulk carriers"",1.56,,33,,3651,,22362,,5195,,31777,,,,,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",05,""Dry bulk carriers"",2.5,,18,,17994,,44600,,29924,,81276,,,,,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",06,""Roll-on/ roll-off ships"",,,24,,29411,,76420,,11140,,46574,,,,,"
"2018A00,""2018"",2018,A,""Annual"",422,""Lebanon"",07,""Liquefied petroleum gas carriers"",0.94,,12,,7598,,16777,,8609,,17672,,,,,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",00,""All ships"",1.27,,18,,12331,,114425,,13435,,164733,,1275,,3600,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",01,""Passenger ships"",,,19,,28415,,114425,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",02,""Liquid bulk carriers"",1.47,,18,,12309,,87146,,19944,,164733,,,,,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",03,""Container ships"",0.68,,13,,14232,,34882,,,,,,1275,,3600,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",04,""Dry breakbulk carriers"",1.19,,19,,3517,,37441,,4911,,56023,,,,,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",05,""Dry bulk carriers"",3.62,,9,,29497,,65976,,52334,,119473,,,,,"
"2018A00,""2018"",2018,A,""Annual"",428,""Latvia"",07,""Liquefied petroleum gas carriers"",0.65,,19,,6202,,22954,,7129,,26361,,,,,"
"2018A00,""2018"",2018,A,""Annual"",430,""Liberia"",00,""All ships"",2.8,,16,,21955,,67524,,37256,,114106,,1963,,2785,"
"2018A00,""2018"",2018,A,""Annual"",430,""Liberia"",02,""Liquid bulk carriers"",2.11,,12,,17884,,67524,,29124,,114106,,,,,"
"2018A00,""2018"",2018,A,""Annual"",430,""Liberia"",03,""Container ships"",1.93,,15,,20899,,32903,,,,,,1963,,2785,"
"2018A00,""2018"",2018,A,""Annual"",430,""Liberia"",04,""Dry breakbulk carriers"",2.84,,22,,9497,,29829,,14058,,51725,,,,,"
"2018A00,""2018"",2018,A,""Annual"",430,""Liberia"",05,""Dry bulk carriers"",3.95,,14,,32675,,45740,,55675,,75033,,,,,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",00,""All ships"",1.94,,18,,21927,,94729,,39074,,181098,,1113,,5015,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",02,""Liquid bulk carriers"",1.31,,12,,45281,,94729,,81302,,166447,,,,,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",03,""Container ships"",1.93,,17,,11834,,54592,,,,,,1113,,5015,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",04,""Dry breakbulk carriers"",2.86,,25,,6850,,20471,,9360,,32250,,,,,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",05,""Dry bulk carriers"",9.9,,21,,19634,,94542,,33591,,181098,,,,,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",06,""Roll-on/ roll-off ships"",,,22,,31569,,62134,,12645,,46705,,,,,"
"2018A00,""2018"",2018,A,""Annual"",434,""Libya"",07,""Liquefied petroleum gas carriers"",1.12,,13,,8695,,18446,,9771,,18547,,,,,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",00,""All ships"",1.22,,17,,15311,,193489,,18624,,164758,,1644,,19462,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",01,""Passenger ships"",,,15,,26444,,114425,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",02,""Liquid bulk carriers"",1.32,,14,,23987,,85421,,41371,,164758,,,,,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",03,""Container ships"",0.66,,14,,18100,,193489,,,,,,1644,,19462,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",04,""Dry breakbulk carriers"",1.29,,20,,3259,,37499,,4571,,55596,,,,,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",05,""Dry bulk carriers"",2.65,,9,,27187,,51239,,46830,,93193,,,,,"
"2018A00,""2018"",2018,A,""Annual"",440,""Lithuania"",06,""Roll-on/ roll-off ships"",,,24,,17659,,57449,,11453,,21523,,,,,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",00,""All ships"",1.46,,12,,21090,,77000,,22829,,74540,,2086,,4056,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",01,""Passenger ships"",,,23,,49326,,75166,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",02,""Liquid bulk carriers"",2.49,,6,,13467,,42826,,21742,,74540,,,,,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",03,""Container ships"",1.05,,15,,23202,,40855,,,,,,2086,,4056,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",04,""Dry breakbulk carriers"",1.19,,15,,6787,,29729,,9276,,46990,,,,,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",05,""Dry bulk carriers"",5.41,,7,,30128,,38203,,52316,,66721,,,,,"
"2018A00,""2018"",2018,A,""Annual"",450,""Madagascar"",06,""Roll-on/ roll-off ships"",,,10,,62383,,77000,,20128,,27564,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",00,""All ships"",0.95,,13,,27375,,234006,,27996,,441561,,3793,,21413,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",01,""Passenger ships"",,,20,,15741,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",02,""Liquid bulk carriers"",1.16,,12,,17896,,234006,,30582,,441561,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",03,""Container ships"",0.76,,13,,41587,,217673,,,,,,3793,,21413,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",04,""Dry breakbulk carriers"",1.15,,15,,6385,,48799,,8881,,89663,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",05,""Dry bulk carriers"",3.42,,10,,31008,,203483,,55962,,404389,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",06,""Roll-on/ roll-off ships"",,,17,,42091,,72408,,13684,,28142,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",07,""Liquefied petroleum gas carriers"",0.91,,10,,5673,,48425,,6358,,55209,,,,,"
"2018A00,""2018"",2018,A,""Annual"",458,""Malaysia"",08,""Liquefied natural gas carriers"",1.09,,17,,89099,,136739,,69374,,93796,,,,,"
"2018A00,""2018"",2018,A,""Annual"",462,""Maldives"",00,""All ships"",2.85,,16,,9993,,39753,,10870,,35000,,1512,,3100,"
"2018A00,""2018"",2018,A,""Annual"",462,""Maldives"",02,""Liquid bulk carriers"",1.09,,16,,8811,,16901,,13194,,24064,,,,,"
"2018A00,""2018"",2018,A,""Annual"",462,""Maldives"",03,""Container ships"",6.48,,15,,17075,,39753,,,,,,1512,,3100,"
"2018A00,""2018"",2018,A,""Annual"",462,""Maldives"",04,""Dry breakbulk carriers"",4.51,,25,,6065,,22998,,8153,,34037,,,,,"
"2018A00,""2018"",2018,A,""Annual"",462,""Maldives"",05,""Dry bulk carriers"",1.53,,9,,7146,,23432,,11244,,35000,,,,,"
"2018A00,""2018"",2018,A,""Annual"",470,""Malta"",00,""All ships"",0.87,,18,,10125,,194849,,9068,,299392,,4538,,19462,"
"2018A00,""2018"",2018,A,""Annual"",470,""Malta"",01,""Passenger ships"",,,17,,6264,,171598,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",470,""Malta"",02,""Liquid bulk carriers"",0.55,,27,,5898,,154163,,9541,,299392,,,,,"
