Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days) ,Median time in port (days)  Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",04,""Dry breakbulk carriers"",0.38,,18,,6164,,20973,,8026,,28341,,,,,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",06,""Roll-on/ roll-off ships"",,,21,,18147,,62838,,8860,,21550,,,,,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",00,""All ships"",1.24,,21,,6241,,11450,,7977,,13470,,,,,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",01,""Passenger ships"",,,29,,7250,,11450,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",02,""Liquid bulk carriers"",1.18,,17,,6303,,7852,,10027,,13470,,,,,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",04,""Dry breakbulk carriers"",3.04,,27,,3199,,6266,,3735,,7728,,,,,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",06,""Roll-on/ roll-off ships"",,,14,,8786,,11450,,5510,,6012,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",00,""All ships"",1.91,,14,,21073,,137936,,35333,,159233,,4531,,11000,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",01,""Passenger ships"",,,21,,8823,,137936,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",02,""Liquid bulk carriers"",1.54,,12,,15414,,85496,,25439,,159233,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",03,""Container ships"",1.46,,10,,49926,,118945,,,,,,4531,,11000,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",04,""Dry breakbulk carriers"",1.18,,23,,8848,,44865,,12188,,73296,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",05,""Dry bulk carriers"",3.29,,8,,31790,,51265,,55865,,93412,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",06,""Roll-on/ roll-off ships"",,,14,,46056,,76299,,15840,,28092,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",07,""Liquefied petroleum gas carriers"",1.75,,8,,24084,,48051,,28475,,58811,,,,,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",08,""Liquefied natural gas carriers"",1.52,,8,,103174,,133612,,84119,,96889,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",00,""All ships"",1.48,,19,,25949,,168666,,78485,,299688,,4361,,8530,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",01,""Passenger ships"",,,28,,4682,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",02,""Liquid bulk carriers"",1.34,,7,,23943,,154182,,40913,,299271,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",03,""Container ships"",1.2,,12,,47387,,94483,,,,,,4361,,8530,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",04,""Dry breakbulk carriers"",1.79,,12,,16537,,54651,,23130,,88272,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",05,""Dry bulk carriers"",1.65,,9,,59510,,152305,,111657,,299688,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",06,""Roll-on/ roll-off ships"",,,14,,40761,,77000,,15442,,43878,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",07,""Liquefied petroleum gas carriers"",0.9,,11,,12252,,48963,,14296,,58757,,,,,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",08,""Liquefied natural gas carriers"",1.22,,9,,110313,,144978,,84221,,121963,,,,,"
"2018A00,""2018"",2018,A,""Annual"",040,""Austria"",00,""All ships"",,,17,,2905,,3542,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",040,""Austria"",01,""Passenger ships"",,,17,,2905,,3542,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",00,""All ships"",0.83,,21,,54877,,228081,,26429,,318803,,4266,,11568,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",01,""Passenger ships"",,,20,,74026,,228081,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",02,""Liquid bulk carriers"",1.88,,10,,37828,,165511,,67301,,318803,,,,,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",03,""Container ships"",0.8,,18,,47064,,113112,,,,,,4266,,11568,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",04,""Dry breakbulk carriers"",0.32,,24,,4070,,39771,,5034,,46671,,,,,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",05,""Dry bulk carriers"",1,,27,,24892,,46409,,41616,,77548,,,,,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",06,""Roll-on/ roll-off ships"",,,37,,10566,,72269,,4844,,26000,,,,,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",00,""All ships"",1.84,,14,,37207,,164292,,47710,,320041,,4190,,14568,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",01,""Passenger ships"",,,8,,80951,,137936,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",02,""Liquid bulk carriers"",1.85,,10,,33201,,164292,,57737,,320041,,,,,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",03,""Container ships"",0.72,,12,,45445,,154300,,,,,,4190,,14568,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",04,""Dry breakbulk carriers"",2.03,,29,,7285,,44387,,11207,,80500,,,,,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",05,""Dry bulk carriers"",3.13,,9,,45105,,94817,,81937,,182618,,,,,"
