iter	RMSE
0	3712.066401
1	3467.698362
2	3240.445355
3	3031.789597
4	2841.085715
5	2661.54838
6	2501.474834
7	2354.34828
8	2217.767552
9	2091.54738
10	1975.23205
11	1864.060481
12	1762.655498
13	1670.545695
14	1586.541809
15	1506.739704
16	1434.327252
17	1368.350903
18	1306.930607
19	1252.69351
20	1199.874563
21	1151.70682
22	1108.956687
23	1067.265611
24	1030.62193
25	996.6445882
26	965.3101906
27	937.2263705
28	912.0088674
29	887.6290762
30	864.4421286
31	844.5498589
32	826.6172874
33	809.4543053
34	793.3860473
35	778.4052938
36	765.1741845
37	753.1264815
38	741.5054574
39	731.2661889
40	721.8436965
41	712.6840614
42	704.0918277
43	696.2737413
44	688.9066184
45	682.5482373
46	676.672053
47	670.8000808
48	665.2741968
49	660.7530766
50	655.3266202
51	651.2795704
52	647.3132004
53	643.1508108
54	638.9211261
55	635.3567474
56	631.5141673
57	628.0489759
58	624.6982106
59	621.7186791
60	619.2475173
61	616.3977634
62	613.0150811
63	611.0917621
64	609.382659
65	606.9213782
66	604.7801579
67	602.2097252
68	600.2650096
69	598.432307
70	596.0149561
71	593.9223996
72	592.0698026
73	590.2261778
74	588.8599703
75	587.7906939
76	585.6431457
77	584.6266784
78	582.9601098
79	581.4025967
80	580.3531283
81	578.7368057
82	577.3654801
83	576.3810236
84	575.0703595
85	574.0133404
86	572.747229
87	571.6008871
88	570.3479262
89	569.2170633
90	568.3624148
91	567.0082336
92	566.3110648
93	565.4457293
94	564.5617763
95	563.9268046
96	562.8731345
97	561.5990578
98	561.1582744
99	560.4007802
100	559.3942695
101	558.9560315
102	558.2259302
103	557.4334383
104	556.5156873
105	555.4452704
106	554.8302095
107	554.3968825
108	553.6360839
109	552.8871938
110	552.4856684
111	552.0343577
112	551.6928185
113	551.0863163
114	550.2677662
115	549.8845528
116	549.4413239
117	548.9882439
118	548.551128
119	548.1665825
120	547.8409209
121	547.4963974
122	546.6433681
123	546.2194027
124	545.2460527
125	544.7503345
126	544.3711271
127	543.8619885
128	543.1475055
129	542.2535285
130	541.8139494
131	541.4206807
132	540.9493917
133	540.4488356
134	540.024672
135	539.7385682
136	539.3928669
137	539.1774421
138	538.4117315
139	537.9078495
140	537.6500631
141	537.275859
142	536.8224086
143	536.461312
144	536.1985905
145	535.8457993
146	535.6220393
147	534.8406698
148	534.5905086
149	534.2343311
150	534.0788432
151	533.8739538
152	533.7318653
153	533.3387162
154	532.9642417
155	532.743794
156	532.5247721
157	531.9969113
158	531.638386
159	531.2298247
160	531.0698763
161	530.8862086
162	530.3954267
163	530.2978448
164	530.1416472
165	530.051687
166	529.900184
167	529.6003457
168	529.1793823
169	528.949261
170	528.786444
171	528.7324842
172	528.0216252
173	527.8689948
174	527.4599562
175	526.832189
176	526.3941304
177	526.0214645
178	525.7757956
179	525.6424711
180	525.4646908
181	525.1556045
182	524.9519447
183	524.7837205
184	524.5552841
185	524.4640927
186	524.191135
187	524.0855666
188	523.5808937
189	523.0363632
190	522.7366613
191	522.3368697
192	521.9631089
193	521.8949354
194	521.8037655
195	521.5943464
196	521.1821936
197	520.8919756
198	520.6007043
199	520.4209091
200	519.952423
201	519.9174146
202	519.3710202
203	519.0986393
204	518.8671751
205	518.6348739
206	518.3452508
207	518.2731182
208	518.2166874
209	518.0306371
210	517.7238542
211	517.618096
212	517.3198234
213	516.9925268
214	516.7093841
215	516.3334856
216	515.9246237
217	515.8739019
218	515.6886614
219	515.4397388
220	515.1905118
221	515.1010379
222	515.0269723
223	514.9138387
224	514.6418565
225	514.6093306
226	514.5438616
227	514.390762
228	514.3707242
229	514.2054889
230	514.1680302
231	514.1550842
232	514.0882122
233	513.655676
234	513.6524919
235	513.2707071
236	513.2662947
237	512.8151118
238	512.7987609
239	512.4359542
240	512.2756938
241	511.9379543
242	511.660207
243	511.5179795
244	511.1001496
245	511.075428
246	510.8982018
247	510.6266349
248	510.227525
249	510.0745091
250	509.8459712
251	509.6508972
252	509.3164923
253	509.1076922
254	508.8637944
255	508.7143755
256	508.6414829
257	508.4959318
258	508.0316113
259	507.8252629
260	507.6822863
261	507.4344489
262	507.2494891
263	507.2240488
264	506.9842387
265	506.6293133
266	506.4461606
267	506.25969
268	505.9940083
269	505.561205
270	505.2289976
271	504.9606285
272	504.60286
273	504.2627753
274	504.0024128
275	503.8560372
276	503.7336495
277	503.5647229
278	503.3065214
279	503.1167015
280	502.9766475
281	502.7581496
282	502.6415773
283	502.3026551
284	501.9117554
285	501.5269514
286	501.177963
287	500.8780102
288	500.7042394
289	500.5330442
290	500.3128187
291	500.1921209
292	499.9772855
293	499.6551349
294	499.5248919
295	499.3773472
296	499.2550751
297	499.009132
298	498.8705177
299	498.7241274
300	498.4953082
301	498.2652955
302	497.9041183
303	497.7073583
304	497.6068469
305	497.4178758
306	497.2684018
307	497.0771862
308	496.987794
309	496.8930138
310	496.6359791
311	496.5393864
312	496.4327001
313	496.3684067
314	496.3265589
315	496.1073026
316	495.8117237
317	495.7574198
318	495.4806806
319	495.4327181
320	495.3388064
321	495.0817108
322	495.0336123
323	494.9957098
324	494.8752993
325	494.5920417
326	494.5566163
327	494.4162085
328	494.0905172
329	493.8598641
330	493.6182593
331	493.4027941
332	493.2064203
333	493.0853625
334	492.7940609
335	492.7612492
336	492.6375405
337	492.4961556
338	492.3054677
339	492.0868376
340	491.9842178
341	491.9542142
342	491.756774
343	491.6439872
344	491.3826782
345	491.1085255
346	490.8259758
347	490.5070538
348	490.2459704
349	490.0238876
350	489.8951336
351	489.8191287
352	489.5459506
353	489.3510486
354	489.0955226
355	488.9318449
356	488.8288604
357	488.7877479
358	488.6396458
359	488.3902487
360	488.1805186
361	488.154115
362	487.8776592
363	487.6766517
364	487.6515888
365	487.6220551
366	487.2845107
367	487.2733314
368	487.1506059
369	486.9352139
370	486.7168475
371	486.6716178
372	486.4169005
373	486.375936
374	486.3566289
375	486.1982675
376	486.1860439
377	486.0436772
378	486.010027
379	485.8732236
380	485.705807
381	485.4661681
382	485.3025993
383	485.1882101
384	484.9710397
385	484.8601015
386	484.6310949
387	484.4174729
388	484.3886623
389	484.3391776
390	484.2145732
391	484.1910095
392	484.0976069
